Area,Item,Year,Value
World,Agriculture total,2006,132367.734
Canada,Burning - Crop residues,2006,13.3208
United States of America,Burning - Savanna,2006,34.1132
Canada,Burning - Savanna,2006,8.2121
Canada,Manure Management,2006,234.7403
Canada,Enteric Fermentation,2006,890.0829
Canada,Agriculture total,2006,1146.356
United States of America,Burning - Crop residues,2006,99.9711
United States of America,Rice Cultivation,2006,399.5705
United States of America,Manure Management,2006,1315.774
United States of America,Enteric Fermentation,2006,6138.1731
United States of America,Agriculture total,2006,7987.6019
United States of America,Agriculture total,2007,8011.2669
United States of America,Enteric Fermentation,2007,6137.0377
United States of America,Manure Management,2007,1330.5005
United States of America,Rice Cultivation,2007,389.2315
United States of America,Burning - Crop residues,2007,119.1033
Canada,Agriculture total,2007,1102.4377
Canada,Enteric Fermentation,2007,859.2971
Canada,Manure Management,2007,222.0774
Canada,Burning - Savanna,2007,8.0623
United States of America,Burning - Savanna,2007,35.3939
Canada,Burning - Crop residues,2007,13.0009
World,Agriculture total,2007,133698.8705
World,Enteric Fermentation,2007,93473.3539
World,Manure Management,2007,9298.3265
World,Rice Cultivation,2007,23597.1131
World,Burning - Savanna,2007,6398.3683
World,Burning - Crop residues,2007,931.7087
World,Burning - Crop residues,2008,960.7144
World,Burning - Savanna,2008,5613.1275
World,Rice Cultivation,2008,24245.557
World,Manure Management,2008,9389.8581
World,Enteric Fermentation,2008,94098.5507
World,Agriculture total,2008,134307.8077
Canada,Burning - Crop residues,2008,13.9725
United States of America,Burning - Savanna,2008,22.2111
Canada,Burning - Savanna,2008,7.8377
Canada,Manure Management,2008,206.0898
Canada,Enteric Fermentation,2008,835.9235
Canada,Agriculture total,2008,1063.8235
United States of America,Burning - Crop residues,2008,112.5996
United States of America,Rice Cultivation,2008,421.526
United States of America,Manure Management,2008,1397.5252
United States of America,Enteric Fermentation,2008,6125.3537
United States of America,Agriculture total,2008,8079.2156
United States of America,Agriculture total,2009,7974.7422
United States of America,Enteric Fermentation,2009,6045.9348
United States of America,Manure Management,2009,1351.2912
United States of America,Rice Cultivation,2009,439.5125
United States of America,Burning - Crop residues,2009,111.1477
Canada,Agriculture total,2009,1015.0053
Canada,Enteric Fermentation,2009,795.6663
Canada,Manure Management,2009,201.9183
Canada,Burning - Savanna,2009,3.9041
United States of America,Burning - Savanna,2009,26.856
Canada,Burning - Crop residues,2009,13.5166
World,Agriculture total,2009,134065.7759
World,Enteric Fermentation,2009,94472.5909
World,Manure Management,2009,9410.3334
World,Rice Cultivation,2009,24164.887
World,Burning - Savanna,2009,5069.8963
World,Burning - Crop residues,2009,948.0683
World,Burning - Crop residues,2010,957.2471
World,Burning - Savanna,2010,5593.6007
World,Rice Cultivation,2010,24674.9991
World,Manure Management,2010,9459.306
World,Enteric Fermentation,2010,94615.9823
World,Agriculture total,2010,135301.1351
Canada,Burning - Crop residues,2010,12.2076
United States of America,Burning - Savanna,2010,15.285
Canada,Burning - Savanna,2010,14.316
Canada,Manure Management,2010,203.2474
Canada,Enteric Fermentation,2010,777.1299
Canada,Agriculture total,2010,1006.9009
United States of America,Burning - Crop residues,2010,112.6013
United States of America,Rice Cultivation,2010,512.0325
United States of America,Manure Management,2010,1348.2574
United States of America,Enteric Fermentation,2010,6008.5861
United States of America,Agriculture total,2010,7996.7623
United States of America,Agriculture total,2011,7856.6867
United States of America,Enteric Fermentation,2011,5954.5384
United States of America,Manure Management,2011,1366.2933
United States of America,Rice Cultivation,2011,370.6745
United States of America,Burning - Crop residues,2011,113.8198
Canada,Agriculture total,2011,970.8072
Canada,Enteric Fermentation,2011,750.3092
Canada,Manure Management,2011,204.4421
Canada,Burning - Savanna,2011,3.5746
United States of America,Burning - Savanna,2011,51.3607
Canada,Burning - Crop residues,2011,12.4813
World,Agriculture total,2011,137564.1101
World,Enteric Fermentation,2011,95063.8264
World,Manure Management,2011,9455.4546
World,Rice Cultivation,2011,24764.1807
World,Burning - Savanna,2011,7293.8286
World,Burning - Crop residues,2011,986.8199
World,Burning - Crop residues,2012,1007.8253
World,Burning - Savanna,2012,6939.4096
World,Rice Cultivation,2012,24760.8864
World,Manure Management,2012,9533.3324
World,Enteric Fermentation,2012,95724.5747
World,Agriculture total,2012,137966.0283
Canada,Burning - Crop residues,2012,14.0853
United States of America,Burning - Savanna,2012,28.6393
Canada,Burning - Savanna,2012,4.6831
Canada,Manure Management,2012,203.9675
Canada,Enteric Fermentation,2012,753.7691
Canada,Agriculture total,2012,976.505
United States of America,Burning - Crop residues,2012,119.0928
United States of America,Rice Cultivation,2012,379.456
United States of America,Manure Management,2012,1365.8545
United States of America,Enteric Fermentation,2012,5865.1366
United States of America,Agriculture total,2012,7758.1792
United States of America,Agriculture total,2013,7634.9211
United States of America,Enteric Fermentation,2013,5805.0675
United States of America,Manure Management,2013,1348.6339
United States of America,Rice Cultivation,2013,349.713
United States of America,Burning - Crop residues,2013,117.4982
Canada,Agriculture total,2013,1007.7894
Canada,Enteric Fermentation,2013,754.6692
Canada,Manure Management,2013,205.1201
Canada,Burning - Savanna,2013,32.7262
United States of America,Burning - Savanna,2013,14.0084
Canada,Burning - Crop residues,2013,15.2739
World,Agriculture total,2013,136537.4784
World,Enteric Fermentation,2013,96148.8224
World,Manure Management,2013,9555.1204
World,Rice Cultivation,2013,25033.5346
World,Burning - Savanna,2013,4766.3539
World,Burning - Crop residues,2013,1033.647
World,Burning - Crop residues,2014,1030.3634
World,Burning - Savanna,2014,5114.3239
World,Rice Cultivation,2014,24854.3663
World,Manure Management,2014,9658.2271
World,Enteric Fermentation,2014,96704.915
World,Agriculture total,2014,137362.1957
Canada,Burning - Crop residues,2014,13.5503
United States of America,Burning - Savanna,2014,16.9353
Canada,Burning - Savanna,2014,27.2952
Canada,Manure Management,2014,208.639
Canada,Enteric Fermentation,2014,744.7871
Canada,Agriculture total,2014,994.2716
United States of America,Burning - Crop residues,2014,113.4924
United States of America,Rice Cultivation,2014,415.436
United States of America,Manure Management,2014,1382.9875
United States of America,Enteric Fermentation,2014,5728.0325
United States of America,Agriculture total,2014,7656.8836
United States of America,Agriculture total,2015,7668.9413
United States of America,Enteric Fermentation,2015,5766.9349
United States of America,Manure Management,2015,1396.9733
United States of America,Rice Cultivation,2015,364.728
United States of America,Burning - Crop residues,2015,110.9923
Canada,Agriculture total,2015,954.1676
Canada,Enteric Fermentation,2015,721.1096
Canada,Manure Management,2015,211.8969
Canada,Burning - Savanna,2015,7.276
United States of America,Burning - Savanna,2015,29.3129
Canada,Burning - Crop residues,2015,13.8852
World,Agriculture total,2015,138988.6679
World,Enteric Fermentation,2015,98417.8333
World,Manure Management,2015,9773.1117
World,Rice Cultivation,2015,24585.8111
World,Burning - Savanna,2015,5168.1328
World,Burning - Crop residues,2015,1043.7791
World,Burning - Crop residues,2016,1057.2772
World,Burning - Savanna,2016,4739.2126
World,Rice Cultivation,2016,25016.0441
World,Manure Management,2016,9876.5239
World,Enteric Fermentation,2016,99698.3556
World,Agriculture total,2016,140387.4134
Canada,Burning - Crop residues,2016,13.5603
United States of America,Burning - Savanna,2016,22.8563
Canada,Burning - Savanna,2016,3.2327
Canada,Manure Management,2016,215.4568
Canada,Enteric Fermentation,2016,719.8774
Canada,Agriculture total,2016,952.1272
United States of America,Burning - Crop residues,2016,116.4542
United States of America,Rice Cultivation,2016,438.662
United States of America,Manure Management,2016,1430.8441
United States of America,Enteric Fermentation,2016,5922.0989
United States of America,Agriculture total,2016,7930.9156
United States of America,Agriculture total,2017,7950.5177
United States of America,Enteric Fermentation,2017,6022.3294
United States of America,Manure Management,2017,1455.6968
United States of America,Rice Cultivation,2017,336.2555
United States of America,Burning - Crop residues,2017,108.8629
Canada,Agriculture total,2017,961.4504
Canada,Enteric Fermentation,2017,715.976
Canada,Manure Management,2017,218.72
Canada,Burning - Savanna,2017,13.3794
United States of America,Burning - Savanna,2017,27.3732
Canada,Burning - Crop residues,2017,13.375
World,Agriculture total,2017,142104.4863
World,Enteric Fermentation,2017,100003.6388
World,Manure Management,2017,9895.2903
World,Rice Cultivation,2017,25392.642
World,Burning - Savanna,2017,5750.5321
World,Burning - Crop residues,2017,1062.383
